Produk,Harga,Lokasi,Rating
Wardah Soft Body Scrub with Olive 240 ml - Body Scrub Equipped with Olive Oil Which Can Remove Dead Skin Cells - Fine Grains,56905,Kab. Bekasi,4.945945945945946
"WARDAH C-Defense Vitamin C All Series Lengkap - Panthenol Anti-Pollution Radiant Creamy Wash, Energizing Whip Foam, Mousse Moisturizer, DD Cream Light/Natural, Face Mist, 10% Ferulic Acid Radiant Charge Serum - Skincare",39900,Kab. Bekasi,4.933260393873085
Wardah 3% Tranexamic Acid + Alpha Arbutin Crystal Secret Dark Spot Brightening Serum 20 ml - Serum Dengan Ekstrak Edelweiss Mencerahkan dan Menyamarkan Flek Hitam untuk Semua Jenis Kulit- Skincare,95580,Kab. Bekasi,4.942231159147083
Wardah Scentsation Eau De Toilette 35 ml - Women's Perfume - Personal Care,55660,Kab. Bekasi,4.941444237533623
"WARDAH Lightening Face Mist 60 ml - Face Mist 3-in-1 dengan 4X Niacinamide Advanced - Mencerahkan Kulit Sebagai Primer Sekaligus Setting Spray Untuk Kunci Tampilan Make Up - Spray Untuk Primer, Setting Spray dan Refresh - Skincare",28980,Kab. Bekasi,4.913801783659379
WARDAH Lightening Matte Powder 20 g Bedak Tabur dengan Smooth Matte Finish yang Diformulasikan dengan SPF 20 PA dan Serum Niacinamide Untuk Hasil Makeup Flawless dan Cerah Cocok Dipakai dengan Cushion Makeup,38640,Kab. Bekasi,4.891389283539679
"[Save] Wardah refill Lightening Powder Foundation light feel 12G | two way cake pressed powder lightweight glowing long lasting & matte with niacamide | powder compact cushion for bright, Blur, long lasting, all skin type-feel glad, no cakey all day-makeu",36340,Kab. Bekasi,4.921760645375914
"WARDAH Glasting Liquid Lip - Hi-Pigmented Glass Color, Ringan, Tidak Lengket, Transferproof Liptint-Lipgloss-Lipstik-Lip Tint-Lip Matte-Lipstick-Lipcream- Glossy Longlasting Waterproof Tahan Lama- Makeup",90980,Kab. Bekasi,4.905424072198176
Wardah Soft Body Scrub 150 ml - Moisturizing Body Scrub - Equipped with Olive Oil Which Can Remove Dead Skin Cells - Soft and Fragrant Scrub Grains,47405,Kab. Bekasi,4.931873479318734
Wardah Lip Cream-matte lip cream 4 G Warna intense Dan long-lasting matte finish texture creamy liptint Lip Stain lipstick Lip Tint Lip Matte Lipstick lipcream glossy longlasting waterproof Lama-lasting two tone lip-makeup,63940,Kab. Bekasi,4.880952380952381
WARDAH Lightening Liquid Foundation 25ml - Base Makeup dengan Skin-Like to High Coverage yang Mengandung SPF 40 PA+++ dan Serum Niacinamide Untuk Hasil Makeup Flawless dan Cerah - Makeup - Foundation - Bedak - Cushion -  Foundation Anti Longsor,52440,Kab. Bekasi,4.94772832637923
[TWINPACK] WARDAH Crystal Secret NMF Amino + AHA PHA Clarifying Foaming Cleanser 100 mL - Sabun Cuci Muka Gentle Acid Mantle Expert - Daily Exfoliating Foam yang Membersihkan dengan Gentle - Kulit Lembap dan Tampak Cerah Sebening Kristal - Skincare,72940,Kab. Bekasi,4.937210706379553
Wardah Scentsation Body Mist 100 ml - Long-Lasting Fragrance for Women - Lasts up to 5 Hours - Easy to Carry - Suitable for Daily Activities - Personal Care,38640,Kab. Bekasi,4.935294793701873
WARDAH Matte Lip Cream 4 g Warna Intense dan Tahan Lama Matte Finish Teksture Creamy Liptint Lip Stain Lipstik Lip Tint Lip Matte Lipstick Lipcream Glossy Longlasting Waterproof Tahan Lama Two Tone Lip - Makeup,63940,Kab. Bekasi,4.8575568805583815
"[12.12] Wardah triple pack UV Shield Sunscreen SPF 35 PA +++ +++ + / SPF 50 PA +++ +++ +++ + (airy smooth, essential gel, acne calming, Aqua fresh, tone up, physical)-facial sunscreen-skincare",140620,Kab. Bekasi,4.921339733798821
"WARDAH Crystal Secret Series Lengkap - Milk Cleanser, Micellar Cleansing Gel, Foaming Cleanser, Exfoliating Toner, Pure Treatment Essence, Serum, Dark Spot Corrector, Day Moisturizer, Night Moisturizer, Refreshing Day Gel, Radiance Serum Mask - Skincare",38180,Kab. Bekasi,4.933800127307448
[REFAL HADY'S FAVORITE] NEW! WARDAH Renew You NMF Amino Ceramide Rejuvenating Gel To Foam Cleanser 100 mL Sabun Cuci Muka Gentle Acid Mantle Expert Gentle Cleanser yang Membersihkan dengan Gentle Kulit Lebih Halus Kenyal - Skincare,40940,Kab. Bekasi,4.940608116102062
Wardah UV Shield Sunscreen All Series - SPF 35 SPF 50,36340,Kab. Bekasi,4.911108445297505
"Wardah Micellar Water All Series - Perfect Bright, Calm and Soothe Nature Daily, Acnederm, Lightening Oil Infused - Pembersih Wajah Make Up Remover Waterproof Tanpa Bilas",29925,Kab. Bekasi,4.932357395254922
"Wardah Shampoo 160ml Twinpack Anti Hairfall, Anti Dandruff, Daily Fresh & Nutrishine 160ml |   Anti-Fall Hair, Anti-Dandruff, Anti-Dandruff, Healthy Hair - Personal Care",50050,Kab. Sidoarjo,4.935854475825754
WARDAH Renew You Retinol Microcaps Matrixyl 3000 Lift & Rejuvenate Night Moisturizer - Skincare,54740,Kab. Bekasi,4.93426032581866
WARDAH Crystal Secret α-Arbutin 5% Niacinamide Hyperpigmentation Expert SPF 35 PA+++ Day Moisturizer 30 g - Skincare,55100,Kab. Bekasi,4.9311762543035735
Wardah acnederm salicylic acid zinc acne clearing low pH foaming cleanser-skincare,23920,Kab. Bekasi,4.908727090818136
"Wardah 5% niacamide + bisabolol moisturizer lightening day cream-facial moisturizer with UV and blue light protection-brightens, moisturizes and protects skin-skincare",51060,Kab. Bekasi,4.941220872190703
"WARDAH UV Shield Aqua Fresh Sunscreen Serum SPF 50 PA++++ 30 ml - Melembabkan Kulit Kering, Memperbaiki Skin Barrier, Melindungi Kulit secara Maksimal - Ringan, Cepat Meresap, Tidak Lengket, No Whitecast, Non comedogenic, 0% Alkohol - Skincare",58900,Kab. Bekasi,4.9319790192323705
Wardah perfect bright creamy foam bright + oil control 100 ml,21375,Kab. Bekasi,4.914738568045181
"WARDAH Paket Crystal Secret - Brightening Day Cream dan Night Cream 30g - Mencerahkan, Melembabkan, Melindungi, dan Meratakan Warna Kulit Cocok untuk Jenis Kulit Normal dan Kering - Skincare",98800,Kab. Bekasi,4.924265505984766
[CREATOR PICKS] WARDAH Lightening Fresh BB Tint 30ml & 15ml - Base Makeup Super Ringan yang Diformulasikan dengan SPF 32 PA+++ dan Serum Niacinamide Untuk Hasil Makeup Flawless dan Cerah - Makeup,34675,Kab. Bekasi,4.9190718732314656
"Wardah Crystal Secret Bright-Peptide ™   5% Niacinamide Hyperpigmentation Expert Night Moisturizer (Crystal Secret Night Cream for Bright, Radiant Skin) - Skincare",55100,Kab. Banjar,4.939090171368561
"Wardah perfect bright cooling jelly facial foam 100 ml-facial wash for all skin types-cold sensation facial wash soap to brighten and help even out color-clean, bright & fresh skin-skincare",32775,Kab. Bekasi,4.912239347234814
